,Unnamed: 0.1,Unnamed: 0,Customer City,Customer Id,Customer Street,Days for shipping (real),Days for shipment (scheduled),Delivery Status,Late_delivery_risk,Payment Method,First Name,Last Name,pincode
0,0,0,Caguas,20755,5365 Noble Nectar Island,3.0,4.0,Advance shipping,0.0,DEBIT,Cally,Holloway,725
1,1,1,Caguas,19492,2679 Rustic Loop,5.0,4.0,Late delivery,1.0,TRANSFER,Irene,Luna,725
2,2,2,San Jose,19491,8510 Round Bear Gate,4.0,4.0,Shipping on time,0.0,CASH,Gillian,Maldonado,95125
3,3,3,Los Angeles,19490,3200 Amber Bend,3.0,4.0,Advance shipping,0.0,DEBIT,Tana,Tate,90027
4,4,4,Caguas,19489,8671 Iron Anchor Corners,2.0,4.0,Advance shipping,0.0,PAYMENT,Orli,Hendricks,725
5,5,5,Tonawanda,19488,2122 Hazy Corner,6.0,4.0,Shipping canceled,0.0,TRANSFER,Kimberly,Flowers,14150
6,6,6,Caguas,19487,1879 Green Pine Bank,2.0,1.0,Late delivery,1.0,DEBIT,Constance,Terrell,725
7,7,7,Miami,19486,7595 Cotton Log Row,2.0,1.0,Late delivery,1.0,TRANSFER,Erica,Stevens,33162
8,8,8,Caguas,19485,2051 Dusty Route,3.0,2.0,Late delivery,1.0,CASH,Nichole,Olsen,725
9,9,9,San Ramon,19484,9139 Blue Blossom Court,2.0,1.0,Late delivery,1.0,CASH,Oprah,Delacruz,94583
10,10,10,Caguas,19483,4058 Quiet Heights,6.0,2.0,Shipping canceled,0.0,TRANSFER,Germane,Short,725
11,11,11,Freeport,19482,3243 Shady Corner,5.0,2.0,Late delivery,1.0,TRANSFER,Freya,Robbins,11520
12,12,12,Salinas,19481,131 Sunny Treasure Green,4.0,2.0,Late delivery,1.0,TRANSFER,Cassandra,Jensen,93905
13,13,13,Caguas,19480,2531 Wishing Square,2.0,1.0,Late delivery,1.0,DEBIT,Natalie,Mcfadden,725
14,14,14,Peabody,19479,6417 Silver Towers,2.0,1.0,Late delivery,1.0,TRANSFER,Kimberley,Sharpe,1960
15,15,15,Caguas,19478,257 Harvest Close,2.0,1.0,Late delivery,1.0,DEBIT,Sade,Lancaster,725
16,16,16,Canovanas,19477,7342 Hazy Beacon Park,5.0,2.0,Late delivery,1.0,PAYMENT,Brynne,Giles,729
17,17,17,Paramount,19476,7787 Lazy Corners,2.0,1.0,Late delivery,1.0,CASH,Ciara,Bird,90723
18,18,18,Caguas,19475,5136 Rustic Pioneer Estates,2.0,1.0,Late delivery,1.0,DEBIT,Bo,Griffin,725
19,19,19,Mount Prospect,19474,1723 Tawny Via,0.0,0.0,Shipping on time,0.0,PAYMENT,Kim,Simon,60056
20,20,20,Long Beach,19473,7111 Silent Fox Gardens,0.0,0.0,Shipping on time,0.0,TRANSFER,Kellie,Farmer,90813
21,21,21,Caguas,19472,3732 Old Mountain Bank,5.0,4.0,Late delivery,1.0,TRANSFER,Alma,Conley,725
22,22,22,Rancho Cordova,19471,6217 Rustic Lake Forest,4.0,2.0,Late delivery,1.0,TRANSFER,Yeo,Bird,95670
23,23,23,Caguas,19470,1082 Quiet Treasure Link,3.0,2.0,Shipping canceled,0.0,TRANSFER,Lucy,Mcknight,725
24,24,24,Billings,19469,3176 Round Gate,2.0,2.0,Shipping canceled,0.0,TRANSFER,Simone,Vance,59102
25,25,25,Caguas,19468,1426 Fallen Line,6.0,2.0,Late delivery,1.0,DEBIT,Roary,Wheeler,725
26,26,26,Wilkes Barre,19467,9814 Emerald Prairie Limits,5.0,2.0,Late delivery,1.0,TRANSFER,Quail,Ashley,18702
27,27,27,Caguas,19466,8271 Tawny Elk Abbey,4.0,4.0,Shipping on time,0.0,PAYMENT,Hannah,Velez,725
28,28,28,Roseville,19465,3931 Gentle Ramp,3.0,4.0,Advance shipping,0.0,DEBIT,Evelyn,Kelly,48066
29,29,29,Bellflower,19464,9699 Honey Rise,2.0,4.0,Advance shipping,0.0,TRANSFER,Jael,Mcfarland,90706
30,30,30,Caguas,19463,1564 Rocky Terrace,6.0,4.0,Late delivery,1.0,DEBIT,Teagan,Romero,725
31,31,31,Wheaton,19462,4294 High Passage,5.0,4.0,Late delivery,1.0,DEBIT,Joan,Wilder,60187
32,32,32,Caguas,19461,5918 Golden Beacon Freeway,4.0,4.0,Shipping on time,0.0,PAYMENT,Basia,Watts,725
33,33,33,Detroit,19460,3915 Broad Lookout,2.0,1.0,Late delivery,1.0,DEBIT,Dominique,Rogers,48238
34,34,34,Dallas,19459,7190 Silver Horse Glade,2.0,1.0,Late delivery,1.0,PAYMENT,Ainsley,Mathis,75220
35,35,35,Caguas,19458,830 Broad Beacon Maze,2.0,1.0,Late delivery,1.0,PAYMENT,Aurora,Sharp,725
36,36,36,Carlisle,19457,6127 Dewy Goose Downs,2.0,1.0,Late delivery,1.0,CASH,Libby,Bray,17013
37,37,37,Dallas,19456,1188 Old Abbey,2.0,1.0,Late delivery,1.0,DEBIT,Amy,Lindsay,75228
38,38,38,Caguas,19455,7004 Hazy Lake Townline,1.0,0.0,Late delivery,1.0,DEBIT,Ivory,Parks,725
39,39,39,Newark,19454,2556 Umber Autoroute,1.0,0.0,Shipping canceled,0.0,TRANSFER,Karina,Prince,19702
40,40,40,Panorama City,19453,3722 Thunder Cape,1.0,0.0,Late delivery,1.0,PAYMENT,Deanna,Goff,91402
41,41,41,Caguas,19452,2676 Velvet Common,1.0,0.0,Late delivery,1.0,DEBIT,Dacey,Walters,725
42,42,42,Atlanta,19451,833 Amber Anchor Glen,4.0,4.0,Shipping on time,0.0,CASH,Adele,Pennington,30318
43,43,43,Caguas,19450,830 Quaking Bear Grounds,3.0,4.0,Advance shipping,0.0,PAYMENT,Sybill,Spencer,725
44,44,44,Fremont,19449,1509 Middle Oak Isle,2.0,4.0,Advance shipping,0.0,DEBIT,Kay,Sandoval,94539
45,45,45,Caguas,19448,9712 Fallen Robin Diversion,6.0,4.0,Late delivery,1.0,TRANSFER,Stacy,Mckinney,725
46,46,46,Rochester,19447,8665 Sunny Deer Woods,5.0,2.0,Late delivery,1.0,TRANSFER,Marah,Lara,14609
47,47,47,Dallas,19446,9879 Harvest Deer Farms,4.0,4.0,Shipping on time,0.0,TRANSFER,Taylor,Wood,75211
48,66,66,Caguas,650,4691 Cinder Crest,4.0,2.0,Late delivery,1.0,PAYMENT,Austin,Sexton,725
49,107,107,Caguas,5506,1122 Old Fox Lookout,5.0,4.0,Late delivery,1.0,TRANSFER,Gregory,Smith,725
50,145,145,Caguas,14630,4722 Round Embers Falls,3.0,2.0,Late delivery,1.0,DEBIT,Kirestin,Barr,725
51,146,146,Caguas,13256,1836 Cozy View Orchard,4.0,2.0,Late delivery,1.0,DEBIT,Nora,Downs,725
52,147,147,Caguas,14665,5257 Umber Field,3.0,2.0,Late delivery,1.0,DEBIT,Jennifer,Stokes,725
53,148,148,Caguas,13363,9079 Dewy Deer Harbour,6.0,2.0,Late delivery,1.0,DEBIT,Madonna,Ingram,725
54,149,149,Caguas,14645,1284 High Apple Highlands,3.0,2.0,Late delivery,1.0,DEBIT,Noelani,Hyde,725
55,150,150,Caguas,13163,9816 Grand Hills Knoll,6.0,2.0,Late delivery,1.0,DEBIT,Sydnee,Nolan,725
56,151,151,Caguas,14553,5301 Blue Street,6.0,2.0,Late delivery,1.0,DEBIT,Willa,Potter,725
57,152,152,Caguas,14287,7274 Middle Wynd,5.0,2.0,Late delivery,1.0,DEBIT,Alma,Delgado,725
58,153,153,Caguas,13179,2668 Velvet Row ,2.0,2.0,Shipping on time,0.0,DEBIT,Ila,Knight,725
59,154,154,Caguas,13035,567 Fallen Pines ,3.0,2.0,Late delivery,1.0,DEBIT,Belle,Booker,725
60,155,155,Caguas,14322,9870 Little Hickory Loop,5.0,2.0,Late delivery,1.0,DEBIT,Alyssa,Contreras,725
61,156,156,Caguas,13196,5763 Green Crossing ,4.0,2.0,Late delivery,1.0,DEBIT,Lani,Nash,725
62,157,157,Caguas,14604,4854 Tawny Cove,2.0,2.0,Shipping on time,0.0,DEBIT,Demetria,Jarvis,725
63,158,158,Caguas,12961,8297 Golden Green ,4.0,2.0,Late delivery,1.0,DEBIT,Joan,Nixon,725
64,159,159,Caguas,14676,7293 Lazy Hill,4.0,2.0,Late delivery,1.0,DEBIT,Gay,Harper,725
65,160,160,Caguas,14087,8967 Sleepy Lane,5.0,2.0,Late delivery,1.0,DEBIT,Audrey,Acosta,725
66,161,161,Caguas,13194,6370 Emerald Row ,2.0,2.0,Shipping on time,0.0,DEBIT,Riley,Jones,725
67,162,162,Caguas,14513,3065 Foggy Horse Port,6.0,2.0,Late delivery,1.0,DEBIT,Imani,Kelly,725
68,163,163,Caguas,13461,1393 Umber Sky Estates,4.0,2.0,Late delivery,1.0,DEBIT,Mechelle,Parker,725
69,164,164,Caguas,14510,5493 Burning Horse Heath,3.0,2.0,Late delivery,1.0,DEBIT,Imani,Castaneda,725
70,165,165,Caguas,13190,529 Blue Grove Rise,3.0,2.0,Late delivery,1.0,DEBIT,Whitney,Henderson,725
